name,team,min,shot,goal,goal_allowed,assist,player_id,match_id,date,pass,pass_accurate,tackle,accel,counter,opportunity,keypass,own_goal,interception,smart,clearance,cross,air_duel,air_duel_won,gk_leave_line,gk_save_attempt,throw,corner,pos,side,player_rank,started
D. Cheryshev,Russia,66.0,3,2,0,0,4513,2057954,20180614,22,12,0,1,4,4,0,0,2,0,0,4,2,2,0,0,0,0,MID,left,0.0405,False
Mário Fernandes,Russia,90.0,0,0,0,0,41123,2057954,20180614,26,21,1,0,0,0,0,0,2,0,2,1,10,7,0,0,16,0,DEF,right,-0.0001,True
I. Akinfeev,Russia,,0,0,0,0,101576,2057954,20180614,17,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,GKP,,,True
S. Ignashevich,Russia,90.0,0,0,0,0,101583,2057954,20180614,26,23,0,0,0,0,0,0,2,0,2,0,10,9,0,0,0,0,DEF,left,0.0166,True
A. Dzagoev,Russia,24.0,0,0,0,0,101590,2057954,20180614,8,7,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,MID,central,0.0039,True
A. Dzyuba,Russia,20.0,1,1,0,0,101669,2057954,20180614,7,6,0,1,1,1,0,0,0,0,0,0,2,1,0,0,0,0,FWD,central,0.0094,False
A. Samedov,Russia,64.0,2,0,0,0,101699,2057954,20180614,17,15,1,3,1,1,0,0,2,0,1,1,5,2,0,0,1,0,MID,right,0.001,True
F. Smolov,Russia,70.0,0,0,0,0,101707,2057954,20180614,19,15,0,1,2,1,1,0,0,0,0,1,3,1,0,0,1,0,FWD,central,0.0036,True
Y. Zhirkov,Russia,90.0,1,0,0,0,101857,2057954,20180614,31,24,0,0,2,0,0,0,4,0,1,1,8,6,0,0,10,4,MID,left,-0.0053,True
Y. Gazinskiy,Russia,90.0,1,1,0,0,102157,2057954,20180614,29,24,1,0,4,1,0,0,3,0,1,0,1,1,0,0,0,0,MID,central,0.0146,True
I. Kutepov,Russia,90.0,0,0,0,0,103668,2057954,20180614,33,26,0,0,2,0,0,0,7,0,5,0,3,3,0,0,0,0,DEF,right,0.0088,True
R. Zobnin,Russia,90.0,2,0,0,0,103682,2057954,20180614,28,18,0,2,1,2,1,0,4,0,0,1,4,4,0,0,0,0,MID,central,0.0184,True
Abdullah Al Mayouf,Saudi Arabia,,0,0,5,0,122561,2057954,20180614,24,22,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,GKP,,,True
Taisir Al Jassim,Saudi Arabia,90.0,0,0,0,0,122577,2057954,20180614,34,32,1,0,1,0,0,0,1,0,1,0,3,0,0,0,1,0,MID,central,-0.0143,True
Hattan Bahbir,Saudi Arabia,16.0,1,0,0,0,122615,2057954,20180614,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,MID,right,-0.0016,False
Fahad Al Muwallad,Saudi Arabia,,0,0,0,0,122623,2057954,20180614,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,FWD,,,False
Omar Hawsawi,Saudi Arabia,90.0,0,0,0,0,122651,2057954,20180614,55,46,1,1,0,0,0,0,3,0,4,0,2,2,0,0,0,0,DEF,left,0.0102,True
Mohammad Al Sahlawi,Saudi Arabia,85.0,2,0,0,0,122671,2057954,20180614,5,5,1,0,0,1,0,0,0,0,0,0,12,3,0,0,0,0,FWD,central,-0.003,True
Muhannad Asiri,Saudi Arabia,,0,0,0,0,122749,2057954,20180614,1,1,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,FWD,,,False
Salem Al Dawsari,Saudi Arabia,90.0,2,0,0,0,122832,2057954,20180614,44,38,0,3,4,1,0,0,2,0,0,0,5,1,0,0,0,0,MID,left,0.0054,True
Osama Hawsawi,Saudi Arabia,90.0,0,0,0,0,122839,2057954,20180614,58,55,2,0,0,0,0,0,7,0,4,0,3,2,0,0,0,0,DEF,right,0.0138,True
Salman Al Faraj,Saudi Arabia,90.0,0,0,0,0,122847,2057954,20180614,77,72,0,0,1,0,1,0,5,0,2,0,2,1,0,0,2,2,MID,central,-0.0047,True
Yahya Al Shehri,Saudi Arabia,74.0,0,0,0,0,122888,2057954,20180614,35,30,3,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,MID,right,-0.0037,True
Yasir Al Shahrani,Saudi Arabia,90.0,2,0,0,0,122940,2057954,20180614,57,44,2,1,3,0,0,0,6,0,4,1,16,4,0,0,15,0,DEF,left,0.0023,True
Abdullah Otayf,Saudi Arabia,64.0,0,0,0,0,139393,2057954,20180614,53,48,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,MID,central,0.0043,True
D. Kuzyaev,Russia,26.0,1,0,0,0,220971,2057954,20180614,10,9,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,MID,central,0.0075,False
A. Golovin,Russia,90.0,0,1,0,2,257800,2057954,20180614,38,28,1,4,6,1,1,0,6,0,0,3,3,1,0,0,1,2,MID,central,0.085,True
Mohammed Al Burayk,Saudi Arabia,90.0,0,0,0,0,292954,2057954,20180614,67,58,1,0,0,0,0,0,3,0,0,2,10,1,0,0,11,0,DEF,right,-0.004,True
D. Godín,Uruguay,90.0,0,0,0,0,3433,2057955,20180615,61,53,1,0,0,0,0,0,5,0,5,0,8,5,0,0,0,0,DEF,left,0.0244,True
L. Suárez,Uruguay,90.0,3,0,0,0,7972,2057955,20180615,28,23,0,0,0,3,1,0,2,0,0,0,1,0,0,0,0,0,FWD,central,0.0,True
S. Morsy,Egypt,40.0,0,0,0,0,11270,2057955,20180615,24,24,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,MID,central,-0.0028,False
M. Cáceres,Uruguay,90.0,1,0,0,0,20460,2057955,20180615,39,31,0,0,0,1,0,0,5,0,1,3,5,4,0,0,7,0,DEF,left,-0.0018,True
E. Cavani,Uruguay,90.0,4,0,0,0,21174,2057955,20180615,29,27,0,0,0,5,0,0,0,0,0,2,1,0,0,0,0,0,FWD,central,0.0221,True
F. Muslera,Uruguay,,0,0,0,0,32641,2057955,20180615,19,19,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,GKP,,,True
C. Rodríguez,Uruguay,31.0,0,0,0,0,70095,2057955,20180615,25,18,0,1,0,0,0,0,0,0,0,2,2,1,0,0,0,0,MID,left,-0.001,False
C. Sánchez,Uruguay,31.0,1,0,0,1,86340,2057955,20180615,25,18,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,3,MID,right,-0.0142,False
G. Varela,Uruguay,90.0,0,0,0,0,116166,2057955,20180615,59,56,1,1,0,0,0,0,3,0,0,2,4,1,0,0,9,0,DEF,right,0.0061,True
