player_id,player_name,pos,foot,birth_date,born,weight,height,passport,team_id,team
32793,A. N'Diaye,MID,right,19900306,250,82,187,686,19314,Senegal
36,T. Alderweireld,DEF,right,19890302,56,91,187,56,5629,Belgium
48,J. Vertonghen,DEF,left,19870424,56,88,189,56,5629,Belgium
54,C. Eriksen,MID,right,19920214,208,76,180,208,7712,Denmark
93,J. Guðmunds­son,MID,left,19901027,352,77,186,352,7839,Iceland
122,D. Mertens,FWD,right,19870506,56,61,169,56,5629,Belgium
123,O. Toivonen,FWD,right,19860703,752,78,192,752,7047,Sweden
142,K. El Ahmadi,MID,right,19850127,528,78,179,504,16216,Morocco
151,J. Guidetti,FWD,right,19920415,752,79,185,752,7047,Sweden
32968,N. Amrabat,FWD,right,19870331,528,77,178,504,16216,Morocco
261,N. Chadli,MID,right,19890802,56,80,187,504,5629,Belgium
16443,L. Balogun,DEF,right,19880628,276,81,190,566,16823,Nigeria
383,D. Tadić,MID,left,19881120,688,76,181,688,17322,Serbia
405,L. Schöne,MID,right,19860527,208,78,177,208,7712,Denmark
360992,D. Zakaria,MID,right,19961120,756,80,191,180,6697,Switzerland
230020,A. Iwobi,MID,right,19960503,566,75,180,0,16823,Nigeria
703,M. Yoshida,DEF,right,19880824,392,78,189,392,12913,Japan
426702,H. Mendyl,DEF,left,19971021,504,73,179,384,16216,Morocco
332821,T. Ebuehi,DEF,right,19951216,528,72,187,566,16823,Nigeria
99381,A. Jędrzejczyk,DEF,right,19871104,616,78,189,616,13869,Poland
99391,M. Rybus,DEF,left,19890819,616,75,173,616,13869,Poland
99452,A. Milik,FWD,left,19940228,616,78,186,616,13869,Poland
230626,D. Ćaleta-Car,DEF,right,19960917,191,89,192,191,9598,Croatia
99661,T. Cionek,DEF,right,19860421,76,80,183,616,13869,Poland
361807,R. Bentancur,MID,right,19970625,858,73,185,858,15670,Uruguay
198120,Ali Gabr,DEF,right,19890110,818,84,193,818,16129,Egypt
99833,B. Bereszyński,DEF,right,19920712,616,77,183,616,13869,Poland
38241,Ó. Skúlason,MID,right,19830401,352,81,183,352,7839,Iceland
99902,P. Zieliński,MID,right,19940520,616,75,180,616,13869,Poland
263802,Y. Tielemans,MID,right,19970507,56,72,176,180,5629,Belgium
1722,V. Fischer,FWD,right,19940609,208,71,180,208,7712,Denmark
231138,P. Kimpembe,DEF,left,19950813,250,67,183,180,4418,France
102629,A. Semenov,DEF,right,19890324,643,86,190,643,14358,Russia
395636,Maxi Gómez,FWD,right,19960814,858,87,186,858,15670,Uruguay
115146,M. Trauco,DEF,left,19920825,604,67,175,604,15594,Peru
297957,M. Akanji,DEF,right,19950719,756,85,187,566,6697,Switzerland
265366,W. Ndidi,MID,right,19961216,566,80,187,566,16823,Nigeria
265368,A. Shehu,DEF,right,19930312,566,72,181,566,16823,Nigeria
101558,Bruno Alves,DEF,right,19811127,620,83,187,76,9905,Portugal
396475,A. Hakimi,DEF,right,19981104,724,68,179,504,16216,Morocco
3269,Jordi Alba,DEF,left,19890321,724,68,170,724,1598,Spain
101576,I. Akinfeev,GKP,right,19860408,643,82,186,643,14358,Russia
3276,A. Rami,DEF,right,19851227,250,90,190,504,4418,France
3280,É. Banega,MID,right,19880629,32,71,174,724,12274,Argentina
101592,K. Honda,MID,left,19860613,392,76,182,392,12913,Japan
101606,A. Musa,FWD,right,19921014,566,66,171,566,16823,Nigeria
3304,Nacho,DEF,right,19900118,724,76,180,724,1598,Spain
