player_id,match_id,name,team,pos,throw,corner
41123,2057954,Mário Fernandes,Russia,DEF,16,0
101699,2057954,A. Samedov,Russia,MID,1,0
101707,2057954,F. Smolov,Russia,FWD,1,0
101857,2057954,Y. Zhirkov,Russia,MID,10,4
122577,2057954,Taisir Al Jassim,Saudi Arabia,MID,1,0
122615,2057954,Hattan Bahbir,Saudi Arabia,MID,1,0
122847,2057954,Salman Al Faraj,Saudi Arabia,MID,2,2
122940,2057954,Yasir Al Shahrani,Saudi Arabia,DEF,15,0
257800,2057954,A. Golovin,Russia,MID,1,2
292954,2057954,Mohammed Al Burayk,Saudi Arabia,DEF,11,0
20460,2057955,M. Cáceres,Uruguay,DEF,7,0
86340,2057955,C. Sánchez,Uruguay,MID,1,3
116166,2057955,G. Varela,Uruguay,DEF,9,0
119975,2057955,Mohamed Abdel-Shafi,Egypt,DEF,12,0
120156,2057955,Ahmed Fathy,Egypt,DEF,11,0
120225,2057955,Marwan Mohsen,Egypt,FWD,1,0
213364,2057955,G. De Arrascaeta,Uruguay,MID,0,2
220112,2057955,Trézéguet,Egypt,MID,1,0
4513,2057956,D. Cheryshev,Russia,MID,3,1
41123,2057956,Mário Fernandes,Russia,DEF,14,0
101647,2057956,F. Kudryashov,Russia,DEF,3,0
101699,2057956,A. Samedov,Russia,MID,0,6
101857,2057956,Y. Zhirkov,Russia,MID,7,0
119975,2057956,Mohamed Abdel-Shafi,Egypt,DEF,15,0
120156,2057956,Ahmed Fathy,Egypt,DEF,11,0
120167,2057956,Abdallah Said,Egypt,MID,0,4
120225,2057956,Marwan Mohsen,Egypt,FWD,1,0
198120,2057956,Ali Gabr,Egypt,DEF,1,0
388928,2057956,Amr Warda,Egypt,MID,1,0
7972,2057957,L. Suárez,Uruguay,FWD,1,0
20460,2057957,M. Cáceres,Uruguay,DEF,8,0
21174,2057957,E. Cavani,Uruguay,FWD,1,1
86340,2057957,C. Sánchez,Uruguay,MID,0,1
116166,2057957,G. Varela,Uruguay,DEF,9,0
116269,2057957,D. Laxalt,Uruguay,MID,2,0
122577,2057957,Taisir Al Jassim,Saudi Arabia,MID,1,1
122615,2057957,Hattan Bahbir,Saudi Arabia,MID,0,1
122847,2057957,Salman Al Faraj,Saudi Arabia,MID,1,2
122940,2057957,Yasir Al Shahrani,Saudi Arabia,DEF,11,0
292954,2057957,Mohammed Al Burayk,Saudi Arabia,DEF,10,0
333571,2057957,L. Torreira,Uruguay,MID,0,1
4513,2057958,D. Cheryshev,Russia,MID,1,1
7972,2057958,L. Suárez,Uruguay,FWD,2,0
20460,2057958,M. Cáceres,Uruguay,DEF,11,0
41123,2057958,Mário Fernandes,Russia,DEF,6,0
101647,2057958,F. Kudryashov,Russia,DEF,6,0
101699,2057958,A. Samedov,Russia,MID,0,1
101825,2057958,I. Smolnikov,Russia,DEF,1,0
116269,2057958,D. Laxalt,Uruguay,MID,10,0
213364,2057958,G. De Arrascaeta,Uruguay,MID,0,3
333571,2057958,L. Torreira,Uruguay,MID,0,1
119975,2057959,Mohamed Abdel-Shafi,Egypt,DEF,5,0
