name,foot,goal,dist_m,dist_ft,time,match_id,period,team_id,player_id,shot_id,accurate,shot_loc,counter,opportunity,x1,y1,x2,y2,H1,H2,E1,shot_loc_desc,time2,min
A. Samedov,right,False,12.98756557490664,42.59921508569378,407.123899,2057954,1H,14358,101699,258612244,False,,False,False,90,69,0,0,2819.15327,2983.382036,,,407.123899,6.0
Yasir Al Shahrani,right,False,16.55947568682354,54.31508025278121,327.142941,2057954,1H,16521,122940,258612248,False,,False,False,87,27,100,100,2819.15327,2983.382036,,,327.142941,5.0
Y. Zhirkov,left,False,17.013624000782432,55.80468672256637,526.276996,2057954,1H,14358,101857,258612307,False,,False,False,86,30,0,0,2819.15327,2983.382036,,,526.276996,8.0
Y. Gazinskiy,head/body,True,8.506812000391216,27.902343361283187,693.396917,2057954,1H,14358,102157,258612368,True,glb,False,True,93,60,0,0,2819.15327,2983.382036,,goal low left,693.396917,11.0
Mohammad Al Sahlawi,left,False,15.975528086420178,52.39973212345818,1266.276267,2057954,1H,16521,122671,258612558,False,,False,False,86,38,100,100,2819.15327,2983.382036,,,1266.276267,21.0
Salem Al Dawsari,right,False,30.347117616175677,99.53854578105621,1647.458358,2057954,1H,16521,122832,258612714,False,otr,False,False,73,32,100,100,2819.15327,2983.382036,,out high right,1647.458358,27.0
Yasir Al Shahrani,head/body,False,13.348030536749606,43.781540160538704,1820.377754,2057954,1H,16521,122940,258612744,False,otr,False,False,88,56,100,100,2819.15327,2983.382036,,out high right,1820.377754,30.0
D. Cheryshev,left,True,8.846008430925215,29.014907653434705,2532.304606,2057954,1H,14358,4513,258612935,True,gtl,False,True,93,38,0,0,2819.15327,2983.382036,,goal high left,2532.304606,42.0
A. Samedov,right,False,22.807883528782323,74.80985797440601,370.86322999999993,2057954,2H,14358,101699,258613188,False,otl,False,True,80,67,0,0,2819.15327,2983.382036,,out high left,3190.0164999999997,53.0
D. Cheryshev,head/body,False,15.43031255807866,50.611425190498004,1159.818871,2057954,2H,14358,4513,258613392,True,gt,False,True,86,46,0,0,2819.15327,2983.382036,,goal high center,3978.9721409999997,66.0
R. Zobnin,right,False,14.560717840219965,47.75915451592148,1337.9019850000004,2057954,2H,14358,103682,258613446,True,gb,False,True,88,67,0,0,2819.15327,2983.382036,,goal low center,4157.055255,69.0
Mohammad Al Sahlawi,left,False,9.509130770475291,31.189948927158955,631.7001989999999,2057954,2H,16521,122671,258613490,False,olb,False,True,92,60,100,100,2819.15327,2983.382036,,out low left,3450.8534689999997,57.0
A. Dzyuba,head/body,True,6.623716063509969,21.725788688312697,1554.119358,2057954,2H,14358,101669,258613527,True,gbr,False,True,94,48,0,0,2819.15327,2983.382036,,goal low right,4373.272628,72.0
R. Zobnin,head/body,False,11.455147404660494,37.57288348728642,1890.6765640000003,2057954,2H,14358,103682,258613574,False,otr,False,True,90,59,0,0,2819.15327,2983.382036,,out high right,4709.829834,78.0
D. Kuzyaev,right,False,33.11858031754984,108.62894344156348,2317.852328,2057954,2H,14358,220971,258613669,False,ot,False,False,70,40,0,0,2819.15327,2983.382036,,out high center,5137.005598,85.0
D. Cheryshev,left,True,17.17405302200095,56.33089391216311,2748.7255830000004,2057954,2H,14358,4513,258613749,True,gtr,False,True,86,29,0,0,2819.15327,2983.382036,,goal high right,5567.878853,92.0
Salem Al Dawsari,right,False,34.715844362516954,113.8679695090556,1666.5463049999998,2057954,2H,16521,122832,258613875,False,or,False,True,69,31,100,100,2819.15327,2983.382036,,out center right,4485.699575,74.0
Hattan Bahbir,left,False,15.866390910427612,52.04176218620256,2193.563835,2057954,2H,16521,122615,258613974,False,,False,False,87,69,100,100,2819.15327,2983.382036,,,5012.717105,83.0
E. Cavani,right,False,25.235599999999998,82.77276799999999,476.278045,2057955,1H,15670,21174,258686325,True,glb,False,True,77,50,100,100,2773.658277,3063.8820100000003,,goal low left,476.278045,7.0
L. Suárez,right,False,13.186887767779023,43.25299187831519,796.3340519999999,2057955,1H,15670,7972,258686422,False,or,False,True,90,70,100,100,2773.658277,3063.8820100000003,,out center right,796.3340519999999,13.0
Trézéguet,right,False,11.26675037721614,36.95494123726893,662.680284,2057955,1H,16129,220112,258686447,True,gbr,False,True,90,57,0,0,2773.658277,3063.8820100000003,,goal low right,662.680284,11.0
E. Cavani,left,False,20.81800116269571,68.28304381364192,1348.670311,2057955,1H,15670,21174,258686600,False,,False,True,82,32,100,100,2773.658277,3063.8820100000003,,,1348.670311,22.0
L. Suárez,right,False,8.356085340786079,27.407959917778335,1384.479894,2057955,1H,15670,7972,258686608,False,olb,False,True,93,41,100,100,2773.658277,3063.8820100000003,,out low left,1384.479894,23.0
M. Vecino,right,False,33.54011298434309,110.01157058864533,1725.9475229999998,2057955,1H,15670,116349,258686748,False,olb,False,True,71,79,100,100,2773.658277,3063.8820100000003,,out low left,1725.9475229999998,28.0
Marwan Mohsen,right,False,21.30381165988847,69.87650224443418,1549.396404,2057955,1H,16129,120225,258686755,True,gb,False,True,81,62,0,0,2773.658277,3063.8820100000003,,goal low center,1549.396404,25.0
Tarek Hamed,right,False,28.76071011101777,94.33512916413828,2756.5418,2057955,1H,16129,437417,258687186,False,,False,False,74,40,0,0,2773.658277,3063.8820100000003,,,2756.5418,45.0
L. Suárez,right,False,8.670356666394987,28.438769865775555,50.71317399999998,2057955,2H,15670,7972,258687231,True,gc,False,True,93,61,100,100,2773.658277,3063.8820100000003,,goal center,2824.371451,47.0
Trézéguet,right,False,29.40931902582071,96.46256640469193,614.6024419999999,2057955,2H,16129,220112,258687438,False,olb,False,False,75,21,0,0,2773.658277,3063.8820100000003,,out low left,3388.260719,56.0
C. Sánchez,right,False,30.19687035704197,99.04573477109766,1349.5079180000002,2057955,2H,15670,86340,258687714,False,,False,False,73,66,100,100,2773.658277,3063.8820100000003,,,4123.166195,68.0
E. Cavani,left,False,12.418818971222667,40.73372622561035,1474.2983000000004,2057955,2H,15670,21174,258687765,False,,False,True,89,58,100,100,2773.658277,3063.8820100000003,,,4247.956577000001,70.0
