team,opp,match_id,shot,goal,assist,pass,pass_accurate,tackle,accel,counter,opportunity,keypass,own_goal,interception,smart,clearance,cross,air_duel,air_duel_won,gk_leave_line,gk_save_attempt,throw,corner,team_opp,shot_opp,goal_opp,assist_opp,pass_opp,pass_accurate_opp,tackle_opp,accel_opp,counter_opp,opportunity_opp,keypass_opp,own_goal_opp,interception_opp,smart_opp,clearance_opp,cross_opp,air_duel_opp,air_duel_won_opp,gk_leave_line_opp,gk_save_attempt_opp,throw_opp,corner_opp,win
Argentina,Croatia,2057974,10,0,0,476,393,13,6,16,9,3,0,34,0,7,13,41,16,1,1,26,5,Croatia,13,3,1,334,261,6,5,11,9,3,0,41,0,8,10,44,22,1,1,23,2,False
Argentina,France,2058003,9,3,1,460,394,10,4,4,6,1,0,24,0,2,16,24,14,0,1,19,4,France,5,4,1,335,290,5,9,37,8,1,0,45,0,15,5,24,12,0,2,8,0,False
Argentina,Iceland,2057972,21,1,0,661,596,6,14,34,16,5,0,27,0,6,19,41,21,2,0,16,10,Iceland,8,1,0,183,141,7,0,4,7,2,0,59,0,23,9,50,17,1,5,12,2,False
Argentina,Nigeria,2057976,5,1,2,493,413,18,6,10,7,2,0,31,0,9,15,37,15,1,1,28,5,Nigeria,7,1,0,242,191,4,4,12,7,3,0,58,0,15,6,56,22,0,1,27,3,False
Belgium,Brazil,2058011,7,1,1,348,304,4,9,12,7,3,0,49,0,25,6,33,20,1,5,15,4,Brazil,25,1,1,498,437,3,6,13,21,9,1,39,0,6,22,25,9,0,1,14,8,False
Belgium,England,2057994,13,1,1,522,469,6,7,13,6,2,0,39,0,20,5,34,16,5,0,10,2,England,8,0,0,452,393,4,4,8,6,5,0,28,0,8,15,34,17,1,3,19,7,True
Belgium,England,2058016,11,2,2,485,427,3,24,27,5,3,0,39,0,19,13,14,4,1,5,8,4,England,14,0,0,654,593,2,4,7,10,8,0,37,0,6,16,14,10,0,0,16,5,True
Belgium,France,2058014,9,0,0,591,535,6,9,9,9,6,0,29,0,12,24,29,11,0,1,20,5,France,17,1,1,317,282,3,11,23,11,8,0,40,0,20,7,24,13,0,1,12,4,False
Belgium,Japan,2058007,24,3,2,572,501,3,7,29,20,9,0,32,0,11,20,39,21,2,4,27,9,Japan,8,2,1,432,377,6,6,3,8,1,0,49,0,25,14,36,11,3,3,9,6,True
Belgium,Panama,2057990,12,3,2,547,478,2,8,57,15,4,0,30,0,6,15,34,15,1,2,23,9,Panama,6,0,0,326,269,2,6,9,5,2,0,49,0,13,8,34,13,0,0,8,3,True
Belgium,Tunisia,2057992,22,5,4,427,358,4,12,23,18,6,0,38,0,12,15,15,7,1,3,16,5,Tunisia,12,2,2,367,298,6,4,5,10,1,0,34,0,8,12,16,8,1,4,13,2,True
Brazil,Belgium,2058011,25,1,1,498,437,3,6,13,21,9,1,39,0,6,22,25,9,0,1,14,8,Belgium,7,1,1,348,304,4,9,12,7,3,0,49,0,25,6,33,20,1,5,15,4,False
Brazil,Costa Rica,2057980,21,2,2,692,635,5,15,27,23,10,0,29,0,9,27,42,21,0,0,19,10,Costa Rica,3,0,0,268,202,9,5,4,1,1,0,46,0,17,6,45,21,3,5,13,1,True
Brazil,Mexico,2058006,17,2,1,355,302,6,13,18,17,4,0,37,0,16,16,29,13,2,1,22,8,Mexico,12,0,0,324,284,11,15,17,4,0,0,26,0,9,15,25,7,0,0,21,7,True
Brazil,Serbia,2057982,14,2,2,613,537,5,19,49,10,3,0,55,0,17,9,37,16,4,0,21,9,Serbia,10,0,0,424,356,7,4,5,6,2,0,44,0,13,26,40,22,0,1,13,5,True
Brazil,Switzerland,2057978,18,1,0,519,452,3,5,4,11,4,0,47,0,6,17,23,10,2,1,10,7,Switzerland,6,1,1,425,352,8,6,13,4,1,0,48,0,15,10,21,9,0,4,19,2,False
Colombia,England,2058009,13,4,1,497,406,10,14,33,10,6,0,45,0,14,17,89,35,2,1,25,2,England,12,5,0,529,457,1,8,11,13,7,0,67,0,22,11,86,38,0,3,24,7,False
Colombia,Japan,2057997,7,1,0,336,274,12,6,6,4,3,0,36,0,13,8,38,17,3,1,32,3,Japan,13,2,1,572,508,5,4,11,11,6,0,45,0,15,11,36,18,0,2,15,6,False
Colombia,Poland,2057998,12,3,3,499,416,8,4,19,7,1,0,40,0,17,24,71,22,2,1,16,5,Poland,6,0,0,301,245,8,5,3,4,1,0,46,0,17,7,50,25,2,0,16,7,True
Colombia,Senegal,2058001,3,1,1,414,350,9,5,4,3,2,0,24,0,8,5,39,16,2,2,25,3,Senegal,5,0,0,268,219,2,14,0,4,0,0,34,0,16,8,46,19,3,0,19,1,True
