city,team,team_id,type,geo,grouping
Seoul,Korea Republic,14855,national,410,F
Moskva,Russia,14358,national,643,A
Solna,Sweden,7047,national,752,F
El Menzah,Tunisia,16276,national,788,G
"Rio de Janeiro, Rio de Janeiro",Brazil,6380,national,76,E
Frankfurt am Main,Germany,3148,national,276,F
Rabat,Morocco,16216,national,504,B
Bogotá D.C.,Colombia,12430,national,170,H
Ciudad de Panamá,Panama,17929,national,591,G
"Buenos Aires, Ciudad de Buenos Aires",Argentina,12274,national,32,D
Lisboa,Portugal,9905,national,620,B
Bruxelles (Brussel),Belgium,5629,national,56,G
Brøndby,Denmark,7712,national,208,C
Montevideo,Uruguay,15670,national,858,A
San José,Costa Rica,16871,national,188,E
London,England,2413,national,0,G
Cairo,Egypt,16129,national,818,A
Tōkyō (Tokyo),Japan,12913,national,392,H
Tehrān (Teheran),Iran,10840,national,364,B
Wien,Austria,9109,national,40,C
Reykjavík,Iceland,7839,national,352,D
Zagreb,Croatia,9598,national,191,D
"Coyoacán, Ciudad de México (D.F.)",Mexico,15473,national,484,F
Dakar,Senegal,19314,national,686,H
Lima,Peru,15594,national,604,C
Paris,France,4418,national,250,C
Ar-Riyāḍ (Riyadh),Saudi Arabia,16521,national,682,A
Las Rozas,Spain,1598,national,724,B
Beograd,Serbia,17322,national,688,E
Bern,Switzerland,6697,national,756,E
Warszawa,Poland,13869,national,616,H
Abuja,Nigeria,16823,national,566,D
