wyId,shortName,firstName,middleName,lastName,birthDate,currentTeamId,born,passport
275580,Cesar Domingo,César Domingo,,Mendiondo López,,0,76,76
14710,J. Heynckes,Josef,,Heynckes,1945-05-09,0,276,276
135480,G. De Biasi,Giovanni,,De Biasi,1956-06-16,0,380,380
210074,Marcelino,Marcelino,,García Toral,1965-08-14,674,724,724
293398,T. Korkut,Tayfun,,Korkut,1974-04-02,0,276,792
92894,Ernesto Valverde,Ernesto,,Valverde Tejedor,1964-02-09,676,724,724
3880,Unzué,Juan Carlos,,Unzué Labiano,1967-04-22,0,724,724
17121,D. Schuster,Dirk,,Schuster,1967-12-29,0,276,276
20454,A. Conte,Antonio,,Conte,1969-07-31,0,380,380
86604,R. Gareca,Ricardo Alberto,,Gareca Nardi,1958-02-10,0,32,32
259751,M. Gisdol,Markus ,,Gisdol,1969-08-17,0,276,276
142913,G. Rohr,Gernot,,Rohr,1953-06-28,0,276,276
15114,D. Hecking,Dieter,,Hecking,1964-09-12,2454,276,276
21061,V. Montella,Vincenzo,,Montella,1974-06-18,3176,380,380
20603,G. Iachini,Giuseppe,,Iachini,1964-05-07,0,380,380
14735,B. Labbadia,Bruno,,Labbadia,1966-02-08,2451,276,276
210205,L. Lagerbäck,Lars,,Lagerbäck,1948-07-16,0,752,752
225952,Fran Escribá,Francisco ,,Escriba Segura,1965-05-03,692,724,724
26812,C. Pélissier,Christophe,,Pélissier,1965-10-05,3789,250,250
251025,S. Inzaghi,Simone,,Inzaghi,1976-04-05,3162,380,380
25691,R. Garcia,Rudi,,Garcia,1964-02-20,3771,250,250
210152,L. Delneri,Luigi,,Delneri,1950-08-23,0,380,380
20386,M. Allegri,Massimiliano,,Allegri,1967-08-11,3159,380,380
18702,M. Schmidt,Martin,,Schmidt,1967-04-12,2481,756,756
295160,Pako Ayestarán,Francisco Martín,,Ayestarán Barandiarán,1963-02-05,0,724,724
230918,Abelardo,Abelardo,,Fernández Antuña,1970-04-19,696,724,724
116503,D. Alonso,Diego Martín,,Alonso López,1975-04-16,15444,858,858
18987,P. Dárdai,Pál,,Dárdai,1976-03-16,2457,348,348
210700,Rafael Benítez,Rafael,,Benítez Maudes,1960-04-16,1613,724,724
18572,D. Wagner,David,,Wagner,1971-10-19,0,276,840
69952,A. Čačić,Ante,,Čačić,1953-09-29,0,191,191
86569,Pizzi,Juan Antonio,,Pizzi Torroja,1968-06-07,0,32,724
355598,Imanol Alguacil,Imanol,,Alguacil Barrenetxea,1971-07-04,723,724,724
210513,P. Garande,Patrice,,Garande,1960-11-27,0,250,250
23551,M. Rastelli,Massimo,,Rastelli,1968-12-27,3235,380,380
32573,Carlos Carvalhal,Carlos Augusto,,Soares da Costa Faria Carvalhal,1965-12-04,0,620,620
210902,B. Storck,Bernd,,Storck,1963-01-25,5187,276,276
15824,R. Hasenhüttl,Ralph,,Hasenhüttl,1967-08-09,1619,40,40
4258,Paco Jémez,Francisco,,Jémez Martín,1970-04-18,0,724,724
9454,G. Megson,Gary,,Megson,1959-05-02,0,826,826
167037,Pepe Mel,José ,,Mel Pérez,1963-02-28,714,724,724
210121,M. Giampaolo,Marco,,Giampaolo,1967-08-02,3164,756,380
228386,C. Titz,Christian,,Titz,1971-04-01,0,276,276
112633,J. Osorio,Juan Carlos,,Osorio Arbeláez,1961-06-08,0,170,170
246913,M. Baroni,Marco,,Baroni,1963-09-11,3254,380,380
169425,Quique Sánchez Flores,Enrique ,,Sánchez Flores,1965-02-02,9134,724,724
135542,M. Koller,Marcel,,Koller,1960-11-11,6407,756,756
14791,J. Klopp,Jürgen,,Klopp,1967-06-16,1612,276,276
254174,M. Pellegrino,Mauricio,,Pellegrino,1971-10-05,712,32,32
136439,C. Coleman,Chris,,Coleman,1970-06-10,22275,1013,1013
3265,Unai Emery,Unai,,Emery Etxegoien,1971-11-03,1609,724,724
20860,D. Ballardini,Davide,,Ballardini,1964-01-06,0,380,380
276858,G. Southgate,Gareth,,Southgate,1970-09-03,0,826,826
26012,C. Gourcuff,Christian,,Gourcuff,1955-04-05,16444,250,250
145007,A. Jonker,Andries,,Jonker,1962-09-22,0,528,528
4054,José González,José Manuel,,González López,1966-10-14,0,724,724
8934,E. Howe,Eddie,,Howe,1977-11-29,1659,826,826
210701,V. Petković,Vladimir,,Petković,1963-08-15,0,70,756
210254,F. Pecchia,Fabio,,Pecchia,1973-08-24,12814,380,380
28158,J. Pinot,José,,Pinot,1965-04-30,0,250,250
484354,Ó. Ramírez,Óscar Antonio,,Ramírez Hernández,1964-12-08,0,188,188
367510,F. Kohfeldt,Florian,,Kohfeldt,1982-10-05,2443,276,276
261672,A. Nouri,Alexander,,Nouri,1979-08-20,0,276,276
525079,Cristóbal,Cristóbal,,Parralo Aguilera,1967-08-21,741,724,724
3396,M. Bielsa,Marcelo Alberto,,Bielsa Caldera,1955-07-21,1630,32,32
209364,N. Maâloul,Nabil,,Maâloul,1962-07-25,0,788,788
32637,F. Terim,Fatih,,Terim,1953-09-04,4492,792,792
16837,A. Schwartz,Alois,,Schwartz,1967-03-28,2472,276,276
122788,Z. Dalic,Zlatko,,Dalic,1966-10-26,0,70,191
33204,H. Cúper,Héctor Raúl,,Cúper,1955-11-16,0,32,32
248800,M. Fomenko,Mikhail Ivanovich,,Fomenko,1948-09-19,0,804,804
94654,A. Nishino,Akira,,Nishino,1955-04-07,0,392,392
269869,S. Bilić,Slaven,,Bilić,1968-09-11,0,191,191
531745,Paco,Francisco,,de Míguel Moreno,1973-02-19,1613,724,724
3295,José Mourinho,José Mario Felix,,dos Santos Mourinho,1963-01-26,0,620,620
360949,F. Da Cruz,Fernando,,Da Cruz,,0,250,250
57369,H. Hallgrímsson,Heimir,,Hallgrímsson,1967-06-10,0,352,352
216136,S. Lamouchi,Sabri,,Lamouchi,1971-11-09,0,250,250
270032,F. Pecchia,Fabio,,Pecchia,1973-08-24,0,380,380
143326,A. Cissé,Aliou,,Cissé,1976-03-24,0,686,686
25751,F. Hantz,Frédéric,,Hantz,1966-05-30,0,250,250
266521,P. Stöger,Peter,,Stöger,1966-04-11,0,40,40
228372,S. Schwarz,Sandro,,Schwarz,1978-10-17,2460,276,276
215903,M. Debeve,Mickaël,,Debeve,1970-12-01,0,250,250
5298,Quique Setién,Enrique,,Setién Solar,1958-09-27,684,724,724
251201,N. Kovač,Niko,,Kovač,1971-10-15,2444,276,191
240612,Paco López,Francisco José,,López Fernández,1967-09-19,695,724,724
8880,S. Dyche,Sean,,Dyche,1971-06-28,1646,826,826
25549,D. Deschamps,Didier,,Deschamps,1968-10-15,4418,250,250
3500,Javi Calleja,Javier,,Calleja Revilla,1978-05-12,682,724,724
292863,M. Pochettino,Mauricio Roberto,,Pochettino Trossero,1972-03-02,1624,32,32
209010,C. Puel,Claude,,Puel,1961-09-02,0,250,250
8357,R. Hodgson,Roy,,Hodgson,1947-08-09,1628,826,826
266522,S. Ruthenbeck,Stefan ,,Ruthenbeck,1972-04-19,3111,276,276
220743,O. Dall’Oglio,Olivier,,Dall’Oglio,1964-05-16,0,250,250
20508,C. Ranieri,Claudio,,Ranieri,1951-10-20,3158,380,380
25606,J. Garcia,Jean Louis,,Garcia,1962-09-20,0,250,250
210146,A. Kombouare,Antoine,,Kombouare,1963-11-16,3804,540,250
301696,Juan Muñiz,Juan Ramón,,López Muñiz,1968-11-02,0,724,724
25683,J. Sablé,Julien,,Sablé,1980-09-11,3782,250,250
8541,S. Allardyce,Sam,,Allardyce,1954-10-19,0,826,826
4107,José Bordalás,José,,Bordalás Jiménez,1964-03-05,698,724,724
15005,L. Favre,Lucien,,Favre,1957-11-02,2447,756,756
9092,G. Poyet,Gustavo Augusto,,Poyet Domínguez,1967-11-15,0,858,858
82503,P. Vrba,Pavel,,Vrba,1963-12-06,11255,203,203
