goalScored,playerankScore,matchId,playerId,roleCluster,minutesPlayed
0,0.0053,2057991,10014,right CB,90
0,0.0009,2057992,10014,right CB,41
0,-0.0013,2057998,100140,central MF,90
0,0.0031,2058000,100140,left CB,90
0,0.0035,2499869,10108,right CB,90
0,0.0071,2499879,10108,right CB,90
0,0.0109,2499901,10108,right CB,90
0,0.0224,2499914,10108,right CB,90
0,0.0082,2499922,10108,right CB,90
0,0.0177,2499964,10108,right CB,90
0,-0.0073,2499972,10108,right CB,90
0,0.0154,2499986,10108,right CB,90
0,0.0087,2499992,10108,right CB,90
0,0.0157,2500020,10108,right CB,90
0,0.0657,2500047,10108,right CB,90
1,0.0294,2500049,10108,right CB,90
0,0.0049,2500066,10108,right CB,90
0,0.014,2500069,10108,right CB,90
0,0.0175,2500080,10108,right CB,90
0,0.0226,2500089,10108,right CB,90
0,0.0023,2576161,10113,left FW-left MF,77
0,0.0191,2576172,10113,left FW,90
0,-0.0119,2576180,10113,left MF,90
0,-0.0068,2576189,10113,central MF,90
1,0.0025,2576200,10113,central MF,90
0,-0.0117,2576216,10113,central MF,90
0,-0.0023,2576235,10113,left CB,90
0,0.0101,2576247,10113,central MF,90
0,-0.0042,2576250,10113,central MF,90
0,0.0154,1694398,101555,left CB,90
0,0.0072,1694400,101555,left MF,90
0,-0.0089,2500722,101555,left MF,90
0,0.0082,1694438,101558,left CB,90
0,-0.0014,1694398,101568,left FW,14
0,-0.0047,1694401,101568,central FW,52
0,0.0094,1694401,101580,right CB,44
1,0.0203,1694397,101581,right CB,90
0,0.0107,1694398,101581,right CB,90
0,0.0073,1694401,101581,left CB,46
0,0.0369,1694397,101583,left CB,90
0,-0.0037,1694398,101583,right CB,90
0,-0.0047,1694401,101583,right CB,90
0,0.0166,2057954,101583,left CB,90
0,0.0359,2057956,101583,left CB,90
0,0.0157,2057958,101583,left CB,90
0,0.0257,2058004,101583,central MF,120
0,0.0285,2058012,101583,left CB,120
0,0.0258,1694397,101585,left MF,90
0,-0.0024,1694398,101585,left MF,90
0,0.0039,2057954,101590,central FW,24
0,-0.0268,2058012,101590,central FW,18
0,0.0115,2057997,101592,right FW,20
1,0.0272,2057999,101592,right FW,18
0,-0.0163,1694398,101596,central MF,44
0,-0.0042,1694401,101596,central MF,90
0,-0.0083,2057973,101606,left FW,28
2,0.0249,2057975,101606,central FW,90
0,0.0093,2057976,101606,left FW,92
0,0.0077,1694409,101607,central FW,75
0,0.0124,1694413,101607,central FW,90
0,0.019,1694396,101616,left CB,90
0,-0.0052,1694398,101616,left CB,90
0,0.0006,1694400,101616,left CB,90
0,0.0059,1694430,101616,left CB,90
0,0.002,2057961,101620,central MF,10
0,0.0014,2057962,101620,left CB,90
0,-0.007,2057965,101620,right CB,90
0,-0.0004,1694397,101623,central MF,10
1,0.0187,1694398,101623,central MF,44
0,-0.0066,1694401,101623,central MF,90
0,0.002,2575970,101635,central MF,30
0,-0.0001,2575992,101635,central FW,30
0,0.0032,2576012,101635,central MF,19
0,0.0119,2576035,101635,central MF,14
1,0.0106,2576107,101635,central FW,15
0,-0.002,2576113,101635,central FW,32
0,0.0569,2576119,101635,central FW,90
0,0.0036,2576176,101635,central FW,90
0,0.0004,2576196,101635,central FW,29
1,0.0415,2576249,101635,central FW,44
0,-0.0068,2576267,101635,central MF,18
0,0.0001,2576285,101635,central MF,3
0,0.0162,2576303,101635,central FW,75
1,0.0113,2576309,101635,central FW,69
0,0.0162,2576323,101635,central FW,90
0,-0.0021,2057958,101647,left MF,90
0,0.0029,2058004,101647,central MF,120
0,0.0203,2058012,101647,left MF,120
0,0.0141,2565565,101649,right CB,46
0,0.024,2565590,101649,right CB,90
0,0.0051,2565764,101649,right CB,90
0,-0.0019,2565882,101649,right CB,90
0,-0.0064,2565920,101649,right CB,90
0,0.0172,2057972,101652,left CB,90
1,0.0273,2057976,101652,left CB,90
0,-0.0022,2058003,101652,left CB,46
0,0.0078,2499853,101652,left CB,90
0,0.0092,2499860,101652,left CB,90
0,0.0317,2499873,101652,left CB,46
0,0.0285,2499898,101652,left CB,24
0,-0.0026,2499914,101652,left CB,46
0,0.0232,2499932,101652,left CB,90
0,0.0143,2499976,101652,left CB,90
0,0.0111,2500081,101652,left CB,76
0,0.0018,2500093,101652,left CB,90
0,-0.0182,1694401,101663,left MF,90
0,0.0009,1694417,101666,right FW,19
0,0.0113,1694418,101666,right FW,20
0,-0.0025,1694397,101669,central FW,90
0,0.0356,1694398,101669,central FW,90
0,0.0096,1694401,101669,central FW,90
1,0.0094,2057954,101669,central FW,20
1,0.0109,2057956,101669,central FW,79
0,0.0051,2057958,101669,central FW,90
1,0.0051,2058004,101669,left CB,65
0,0.0242,2058012,101669,central FW,79
0,0.0008,2058004,101682,central MF,74
0,-0.01,1694420,101690,right FW,90
0,0.0048,1694422,101690,central FW,90
2,0.0302,1694424,101690,central MF,90
0,0.0082,1694431,101690,central MF,90
0,-0.0015,1694401,101699,right FW,20
0,0.001,2057954,101699,right FW,64
0,-0.0176,2057956,101699,right FW,90
0,-0.017,2057958,101699,right FW,90
0,-0.012,2058004,101699,central MF-left FW,61
0,-0.0089,2058012,101699,right MF-right FW,54
0,-0.0113,1694397,101705,right FW,90
0,0.0041,1694398,101705,right FW,76
0,-0.0006,1694401,101705,right FW,90
0,-0.0032,1694397,101707,left MF,85
0,-0.0031,1694398,101707,central FW,90
0,0.0036,1694401,101707,left FW,70
0,0.0036,2057954,101707,central FW,70
0,-0.0027,2057956,101707,central FW,11
0,-0.0023,2057958,101707,left FW,30
0,-0.0049,2058004,101707,central MF,55
0,0.0001,2058012,101707,central FW,54
0,-0.0044,2576008,101742,right MF,90
0,0.0128,2576014,101742,left MF,90
0,0.0357,2576027,101742,right MF,70
0,0.0721,2576067,101742,left MF,90
0,0.0004,2576075,101742,left MF,90
0,-0.0192,2576087,101742,left MF,90
0,-0.0055,2576096,101742,left MF,90
0,-0.006,2576108,101742,left MF,15
0,-0.0001,2576168,101742,central MF,17
0,0.0011,2576170,101742,central MF,20
0,0.013,2576188,101742,left MF,53
0,-0.0043,2576198,101742,left CB,19
0,-0.0091,2576204,101742,central MF,90
0,-0.0227,2576217,101742,left MF,90
0,0.0035,2576221,101742,left MF,90
0,-0.0244,2576237,101742,left CB,90
0,0.0005,2576243,101742,central MF,90
1,0.032,2576257,101742,left MF,90
0,-0.0015,2576265,101742,left MF,90
0,-0.0009,2576277,101742,left FW,90
0,-0.0048,2576286,101742,left MF,90
0,-0.0103,2576298,101742,left CB-left MF,90
0,-0.001,2576318,101742,left MF,90
0,0.0173,2576327,101742,left MF,61
0,0.0226,2576338,101742,left MF,90
0,-0.0008,2500734,101795,central FW,11
0,-0.0007,2500736,101795,central FW,22
0,-0.006,2500747,101795,central FW,19
0,0.1127,2500756,101795,central FW,62
0,0.003,2500775,101795,central FW,35
0,-0.0005,2500776,101795,central FW,67
0,0.0084,2500789,101795,central FW,65
0,0.0187,2500826,101795,central MF,86
0,0.0087,2500846,101795,central FW,10
0,0.0017,2500866,101795,central FW,18
0,0.0023,2500936,101795,central MF-central FW,79
0,0.0065,2500951,101795,central MF,90
0,0.0223,2500956,101795,central FW,63
0,-0.0005,2500967,101795,central FW,13
0,-0.0014,2500976,101795,central FW,90
0,-0.0001,2500996,101795,central MF,14
0,-0.0018,2501016,101795,central FW,18
0,0.0094,2057979,101796,central FW,67
0,-0.0057,2057980,101796,central MF,54
0,-0.0004,1694397,101825,right MF,90
0,-0.0074,1694398,101825,right FW,90
0,-0.0194,1694401,101825,right MF,90
0,-0.0046,2057958,101825,right MF,90
0,-0.0118,2057961,101846,central MF,90
0,-0.0026,2057962,101846,central MF,90
0,-0.0132,2057965,101846,right CB,90
0,0.0005,2057962,101847,central FW,15
0,0.0001,1694397,101856,central MF,90
0,0.0304,1694398,101856,central FW,90
0,-0.0053,2057954,101857,left MF,90
0,0.0018,2057956,101857,left MF,86
0,-0.0008,2058004,101857,right MF,46
0,-0.0007,2058012,101953,left FW,66
0,0.0198,2500688,102,right CB,90
0,0.0366,2500703,102,right CB,87
0,0.0076,2500707,102,right CB,90
0,0.0365,2500723,102,right CB,90
0,0.0283,2500728,102,right CB,90
0,0.032,2500742,102,right CB,90
0,0.0103,2500749,102,right CB,90
0,-0.0489,2500757,102,right CB,90
0,0.027,2500785,102,right CB,90
0,0.0112,2500791,102,right CB,90
0,0.0118,2500804,102,right CB,90
0,0.0133,2500812,102,right CB,90
0,0.0174,2500822,102,right CB,90
0,0.0057,2500830,102,right CB,90
0,0.0109,2500836,102,right CB,90
0,0.0136,2500846,102,right CB,90
0,0.0104,2500858,102,right CB,90
0,0.0192,2500875,102,right CB,90
0,0.005,2500878,102,right CB,90
0,0.0083,2500889,102,right CB,90
0,0.0145,2500898,102,right CB,90
1,0.0191,2500907,102,right CB,90
0,0.0091,2500920,102,right CB,90
0,0.0202,2500930,102,right CB,90
0,0.0599,2500950,102,right CB,90
0,0.0131,2500962,102,right CB,90
0,0.0089,2500970,102,right CB,90
0,0.0214,2500979,102,right CB,90
0,0.016,2500990,102,right CB,90
2,0.0405,2501001,102,right CB,90
0,0.0181,2501009,102,right CB,90
0,0.0128,2501018,102,right CB,90
0,0.0136,2501029,102,right CB,90
0,0.0077,2501039,102,right CB,90
0,0.01,2501058,102,right CB,90
1,0.0146,2057954,102157,central MF,90
0,-0.0051,2057956,102157,central MF,90
0,-0.0065,2057958,102157,central MF,46
0,-0.0048,2058012,102157,central MF,41
0,0.0481,1694420,102382,central FW,21
0,-0.0022,1694422,102382,central FW,66
0,0.027,2499741,10252,right CB,90
0,-0.0189,2499757,10252,central MF,90
0,-0.0028,2499766,10252,central MF,90
0,0.0057,2499777,10252,right CB,46
1,-0.0056,2499810,10252,left MF,90
0,-0.0265,2499826,10252,left FW,79
0,-0.0033,2499832,10252,central MF,90
0,0.0007,2499866,10252,central MF,73
0,0.0026,2499907,10252,central MF,90
0,0.0018,2499913,10252,central MF,24
0,-0.0005,2499927,10252,central MF,81
0,0.0011,2499937,10252,right CB,90
0,0.01,2499945,10252,central MF,90
0,0.0009,2499957,10252,central MF,90
2,0.0251,2499960,10252,central MF,92
0,-0.0092,2499974,10252,left FW,90
0,0.0026,2499986,10252,left FW,90
0,0.0005,2499991,10252,left FW,90
0,-0.001,2500006,10252,central MF,89
0,-0.015,2500013,10252,left CB,90
0,-0.0078,2500026,10252,left FW,90
0,0.0029,2500034,10252,central MF,56
